url,image,name,price
https://www.barnesandnoble.com/w/python-crash-course-2nd-edition-eric-matthes/1129705311;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781593279288,https://prodimage.images-bn.com/pimages/9781593279288_p0_v2_s192x300.jpg,"Python Crash Course, 2nd Edition",$35.95
https://www.barnesandnoble.com/w/python-all-in-one-for-dummies-john-shovic/1129527136;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781119557593,https://prodimage.images-bn.com/pimages/9781119557593_p0_v4_s192x300.jpg,Python All-in-One For Dummies,$35.99
https://www.barnesandnoble.com/w/automate-the-boring-stuff-with-python-2nd-edition-al-sweigart/1133598925;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781593279929,https://prodimage.images-bn.com/pimages/9781593279929_p0_v1_s192x300.jpg,"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",$27.96
https://www.barnesandnoble.com/w/python-for-kids-jason-r-briggs/1110914603;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781593274078,https://prodimage.images-bn.com/pimages/9781593274078_p0_v5_s192x300.jpg,Python for Kids: A Playful Introduction to Programming,$31.46
https://www.barnesandnoble.com/w/python-programming-for-the-absolute-beginner-michael-dawson/1100212232;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781435455009,https://prodimage.images-bn.com/pimages/9781435455009_p0_v1_s192x300.jpg,Python Programming for the Absolute Beginner / Edition 3,from $17.04
https://www.barnesandnoble.com/w/coding-games-in-python-dk/1127203765;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781465473615,https://prodimage.images-bn.com/pimages/9781465473615_p0_v1_s192x300.jpg,Coding Games in Python,from $17.99
https://www.barnesandnoble.com/w/introduction-to-computation-and-programming-using-python-john-v-guttag/1124386779;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9780262529624,https://prodimage.images-bn.com/pimages/9780262529624_p0_v2_s192x300.jpg,Introduction to Computation and Programming Using Python: With Application to Understanding Data / Edition 2,$45.00
https://www.barnesandnoble.com/w/computer-programming-cyberpunk-architects/1129655321;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781727521900,https://prodimage.images-bn.com/pimages/9781727521900_p0_v1_s192x300.jpg,"Computer Programming: The Bible: Learn From The Basics to Advanced of Python, C, C++, C#, HTML Coding, and Black Hat Hacking Step-by-Step IN NO TIME!",$14.95
https://www.barnesandnoble.com/w/python-for-data-analysis-wes-mckinney/1124074589;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781491957660,https://prodimage.images-bn.com/pimages/9781491957660_p0_v5_s192x300.jpg,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",$53.99
https://www.barnesandnoble.com/w/learning-python-mark-lutz/1100193238;jsessionid=F19311912916C233542E128640FD147B.prodny_store01-atgap16?ean=9781449355739,https://prodimage.images-bn.com/pimages/9781449355739_p0_v3_s192x300.jpg,Learning Python,$67.49
