url,image,name,price
https://www.ebay.com/itm/Learning-Python-5th-Edition-by-Mark-Lutz-P-D-F-Digital/373024691674?epid=159818827&_trkparms=ispr%3D1&hash=item56da0115da:g:Sx0AAOSwPPlemkU0&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKQAYcH4BGwQtpYi1R8mhqgKeVRVjBT8y7ZWb89fDOpryWUgf0THIADujLfdreTjNdxdDL7Ho9hGlrunzP%2FeO%2BjPqo1cA1YMZrjVldYGi4PigGwAaDlna2HGx2AkOUvdkjVrXRSG9uUQJ4EAHfQk5Yzug1V7DC4NkgqfItgz0uPmjZKPLTU%2BJRIhf%2Bgu%2B76ie0uOyxgz8uHoVfGBbIIAR1bsQJsYzhaLFSZS8Z5f9ZLXznXbLa%2Fn5WPd0WmvYk3JbjdShaG3UNhnYOf%2FB73e1yX4gr4bl3BpRi412ON4C2epgKk264qdOGGTBxPZC6HwuNWH8lqeR%2BCLdNcaU9TJzQCC5NeCRPDXIxpYT19wb3JRuA9ynQZzqUBkbedyQFifKCzSYDCA41cGRiuZ0InUu3dpOVOGl8nh9L9CRdOvhHGw%2BS5Ft%2FY8xZDXz4b5ugvk7bUWkc%2Bl9PPGN%2BTxEgL7uyecu4kYUfroH6Da1buliXFa0JSy6Q05oHsAFMjBPinZlK1kQWHSE3P2ZAVfOWLBt9%2FBHUlV8nxQFMabMlPQRR6bQFXp86TFfd%2B65KBRg9zTo4drXU09o83rxW0FMp5wwKxLuX%2BGDldg8FqVLlkIBKneyQ1yXzKql%2B9egMhQy3GBbuDurKoBkrWae1Zs7pVI8byDs7ot9%2BVJZNpkUhs%2Bwy9nbEjiHYYbZdK4G%2Bmy8EipuUGCd%2FF6A4GaP7ZjBUO0m9LIrmmEFWGP8Njm1XFqMH0G%2F2DRBiof4zaN2jra5nOsI7&checksum=373024691674eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/Sx0AAOSwPPlemkU0/s-l225.jpg,"Learning Python, 5th Edition by Mark Lutz [P.D.F] Digital",$4.99
https://www.ebay.com/itm/Learning-Python-5th-Edition-by-Mark-Lutz-P-D-F/353041007998?epid=159818827&_trkparms=ispr%3D1&hash=item5232e2457e:g:uiAAAOSwHy5ejb3N&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKVSUO5rLpLbvuHeymugu80jkeJwMVfeCKeg0ITkgGVQMkBeUPcbS8Byu%2BB13VFMdGVgU0Hs6FKIp3IYpat7zZ32icqQ7u30uazZOD3tLhEluvmSlxCs31UcMmL0sxZpF9rFEMyXDTZi%2FqsQGBjCnwJ2z97oLYXie4redXB6D%2BMAoZVbUvwRCAFvo6qZJasT8td5ezlWbSFRPrqCYU81GoswQWDF%2BPYm6F3NWf3UiZRC7kp%2FNPZF1BWRFzF1s%2FpKShfi62vMwBiWGjwDG14Y%2BE6u3FXFSvgvNh599vc8Cn3z%2F6rxepMaQ9twe1xu5%2FCcQhhq8RF9y5nSx%2FsL2Uc79cVWzBm66RF%2BD44iRczHpCgINOR0BVhnh8Wm73DnJ56gIU7IYvBOE3t%2BZKGs5IvaHNwRoWz0cW9%2BdHKB9Q4mO7a4BVgYkI2hauzB7g%2BAJ7V7LBRvJTaFE7NxeEXiViIbs%2FGbRa6TN7RzSGUNHE2mxT5%2Fj4OFMxalFF0MDe%2BhVpAuS%2BorlvZq6ZAydpX98e8iMMfW9SoqQZqs%2BHru1NE2MAW9%2FY9XhJVYo5b%2FjhiEV36KNxZ3iCGWA4nae0ICq4M0SBx6U3Q4PC240YGEtb6KyobSVxH%2FfpiAUjwQjmKrUm2FA1OmlH%2FdbPS9c4i1XV0V4oqyUpdWSK%2FeAjWt23FSCgKNh8Cp%2BfsHd2Vik3nmfacVog1CABO2v%2BKGPQ%2B55heBAf%2FXk7iEBEPZt068%2BIkEeiof1Ex55bXGdX7DwU3VBHW8FM&checksum=353041007998eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/uiAAAOSwHy5ejb3N/s-l225.jpg,"Learning Python, 5th Edition by Mark Lutz [P.D.F]",$5.46
https://www.ebay.com/itm/Python-for-Data-Analysis-Digital-Book/164017149155?_trkparms=ispr%3D1&hash=item26302f14e3:g:CWQAAOSwRfNeJajb&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKym2Jdff8P6pcVkPslsrmD%2FKB5Tt5obK4SAXz8AMh7rk%2Bjqb8w3homSNe2yU4pIFSqcTS3Mm%2F7T9gADUVMsf5gNhtXIUv58qU21SyBcj14tQRxv2dBqxNVtnkxCw3dShWz5fgfIOfa01raIg3WdvCbVCWaOjqF3ZNbHjSq03pPqGJxgc574IqF0iP3AFullA9RJsDKgtOmLKerhPr7q%2FDQ%2B0bFYKWuE1IGPHt1RKcW869wCpQnJvgMJdJg5weGRqRSxhZB4j9poYQVYstD5fx8O9MB%2Fjivc1t8SM6CzqVh7evWUqwslZF7WcIZ%2FwgWWpsuA5%2BYP4WidEypGgLLh6Qj5VVz9E8xe1fx6EObVTvp3tmJXx2p4RouYABOlAf1e0u1fUG0FlhdnITn9w0twnCAhJE57N6ggr3nYZL7qjipejotQLwSMM%2BcXq%2BHgI4gnkMedmZ0lsZDXhzMtGRWmMdqX%2BIw0wR8I%2BYYrLHc5Q2I7SBDy6dwoW9rdLJ1sBeIY8eDeTSEAJmYWuxmEGPAzil3yZ7SktRnoolA%2BhQBb7WDiVV14zjG2%2Byi29%2FH5%2BfTuqOSfoBd7kzbI%2BtZMvVsnPGLWQmAdVzCxDNLVWyxx1vGq4Ivv14BOXXaPT%2Byew0EDuKDBFbTo8SLqOHzlklSCbT%2FF5uHCSru46ZmIZF5A4WKDHvKUXNCzB5jBgtYinDP53j0nLV%2FnoKiEpyy25jxPSbbGv%2FlLoQnSWU9sOYdsLOkkjRso3troxyC8kYeaEq6ffY&checksum=164017149155eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/CWQAAOSwRfNeJajb/s-l225.jpg,Python for Data Analysis - Digital Book -,$5.00
https://www.ebay.com/itm/Learning-Python-powerful-object-oriented-programming-P-D-F/254566202526?_trkparms=ispr%3D1&hash=item3b4553fc9e:g:ZB8AAOSwW8lekUo9&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKBMsgxzC%2B4AcufPIrJqKaAEdytTQPvFUTv2PmgWowhqZ7R%2Bnf0YN2KnR9jsfSHIltugaXnuir4iDzbJjRzFr%2FsfI6IUJGDJxQbBzCMY2lUQ085cbjVstYJSEf2tKRUGRMLa1p%2FQZ8uuG8LkZBWx462Fg9RtUU0k6fc5RfpziOmiUTKoYC40qxxSvXD69pw0nQTt3baDx%2Bp1SrLOnanJA3EJR12IKBHKaKUCFkvxAvryeof0FeOh8n0gxlZSdOm8sbwkNrKarqPNj51dHBnXrYyI0MIGPuWWifz1duKGbrkhOqSF6hyeQdGTJgbzk6%2FJ2b%2BifheGrbfy9fq8bEagGGwwun31noeC%2FBr%2Fqub5gI%2BhOpbcJCO9CjNJxhDBfl%2Fx9sRUELLwbm6iA%2FiKoXZLZ3Sx3KanMIBO6jB1spilGg7TzEmifXsPr%2B7lDiiTENTbVwU6sIm4mBydzcusBrGaqkIoAbT6ORb4BENJxwoi4KDFZ%2BB3CaXJbI6mOwHG05JXiQENYIaaxhdhZcJ2apJnQs4fn%2BTir5Gt8COPOE0KV3myGVLF15AyFzdzb5xi3WnfYRjwO%2Fng2ZQkOZlYtfvarUKejFh%2FHnMHzyvCAl1d7OVAEJ7JzKh2WGLtGQxirr5YcqwuZ7bjCdJwyt1nKMfoK7uepSREb9ygt%2B9y7fan9YN3iEgti9IHIjx4Kmjqv5qVt5CfvE1eOREkELiKzVa72N3blRzLKDzIbBD%2F4Z3aw%2B22WcEg%2FyOrYNIhp8Ndt0%2B7CO&checksum=254566202526eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/ZB8AAOSwW8lekUo9/s-l225.jpg,Learning Python: powerful object-oriented programming [P.D.F],$8.49
https://www.ebay.com/itm/Introduction-to-Machine-Learning-with-Python-Digital-Book/163959711027?_trkparms=ispr%3D1&hash=item262cc2a533:g:mXgAAOSwhiJeIx-u&enc=AQAEAAACYIQvEcHUrT7nmUC3yY5qbPyaBN1nJEDYW8MyypsJPgXKym2Jdff8P6pcVkPslsrmD9R7pjxiki9PleROTOCEeHzudYCy6rTQXLuetMQ3fNqgu11mUc6DISt66geZRznfyQNuyqL8ugKKpNGwEOOJ8%2FyzJJqfMZuJr4Vx5HLfrv2lVaXEPGbbTiPPhXRqnP5cuCSkwtFBnvw74lwKcgBO01inEsCgejqEB%2BDNTBFjVVBW9Vo8fwCmGboeYuKQKTIrcnp8%2Fz88uJTj2HWXazDUUNryuPg78WfsUOCddF3FyT1PKHHmTvn2X9dmMaag0HMCAG7w1SJtl5yW%2BPNGH3zuULYZIVLm4dEVph90cpw4KVES8RzYij7%2BTsTxTg%2B6ttMdmPdIrFhdvi5V1u3QRp3GSt5xMEeHZOEq7%2BiHcvxWeYoFnLWDo1ALMBG9BRtruYyPK1lEOGtNk9%2Fn2Zu8fcAlt1THqCc0C%2Bb%2BzNQGai0hCA1WM2U%2FAkCmjIfYZkhiEpfQGbEvVQMK%2Fu8e3rxLxj%2F0VghGjH19j5qU8t6811ldS%2FplKaLf2XvUhab1numlB62st7bctNtjXZ246WQscU7V%2BeyxqjWUlPbt%2FEODpRLU0SxqOyv2nyMotKJObjaouWFDuQddRUqIYgPcm5egSgfQCfjDJ6y0tqY5pHt%2F6ZIT4aic4OQqoxeOHrAEIHaLEMbRZg9QCykm84Zirbm3unVjqDACbUgt0vmdItJwnW6jolw7S5JW47zq08RPwx%2BLRT1kzoP70PvB14DBDGV5uqLuVlybZkr0Snq20R4iEsMWrcJN&checksum=163959711027eec3b117d27745aeb8437c38a7402cf0,https://i.ebayimg.com/thumbs/images/g/mXgAAOSwhiJeIx-u/s-l225.jpg,Introduction to Machine Learning with Python - Digital Book -,$5.00
https://www.ebay.com/itm/Python-Game-Programming-By-Example/164167791074?hash=item263929b1e2:g:0fcAAOSw3BRenZnB,https://i.ebayimg.com/thumbs/images/g/0fcAAOSw3BRenZnB/s-l225.jpg,Python Game Programming By Example,$12.65
https://www.ebay.com/itm/Automate-the-Boring-Stuff-with-Python-Practical-Programming-for-Total-Beginner/383506919258?hash=item594acb2f5a:g:J1kAAOSwBiNemMlL,https://i.ebayimg.com/thumbs/images/g/J1kAAOSwBiNemMlL/s-l225.jpg,Automate the Boring Stuff with Python: Practical Programming for Total Beginner,$2.00
https://www.ebay.com/itm/Learning-Python/373011079497?hash=item56d9316149:g:Xn4AAOSwm69eiBRI,https://i.ebayimg.com/thumbs/images/g/Xn4AAOSwm69eiBRI/s-l225.jpg,Learning Python,$3.99
https://www.ebay.com/itm/Beginning-Programming-with-Python-For-Dummies-2nd-Edition-Gift-Read-Desc/313059759047?hash=item48e3d0d3c7:g:vBoAAOSwF7xem2pI,https://i.ebayimg.com/thumbs/images/g/vBoAAOSwF7xem2pI/s-l225.jpg,Beginning Programming with Python For Dummies 2nd Edition á‘­.á—ª.á–´ + Gift Read Desc,$3.50
https://www.ebay.com/itm/Black-Hat-Python-Python-Programming-for-Hackers-and-Pentesters-1st-Edition-by-Ju/362969645608?hash=item5482ad4228:g:iDYAAOSw1bJelMlQ,https://i.ebayimg.com/thumbs/images/g/iDYAAOSw1bJelMlQ/s-l225.jpg,Black Hat Python Python Programming for Hackers and Pentesters 1st Edition by Ju,$9.99
https://www.ebay.com/itm/Doing-Math-With-Python-Like-New-Condition/274347672613?hash=item3fe0654425:g:JzAAAOSwythepKUz,https://i.ebayimg.com/thumbs/images/g/JzAAAOSwythepKUz/s-l225.jpg,"New ListingDoing Math With Python - ""Like New"" Condition",$6.80
https://www.ebay.com/itm/Learn-Python-in-One-Day-and-Learn-It-Well-Python-for-Beginners-with-Hands-on-Pr/373011855062?hash=item56d93d36d6:g:RkoAAOSwlLReYPGS,https://i.ebayimg.com/thumbs/images/g/RkoAAOSwlLReYPGS/s-l225.jpg,Learn Python in One Day and Learn It Well: Python for Beginners with Hands-on Pr,$3.99
https://www.ebay.com/itm/Java-Programming-Python-Programming-Master-Programming-Guide-Learn-in-Day-P-D-F/372865634172?hash=item56d0860f7c:g:Ji8AAOSw19JeTbgl,https://i.ebayimg.com/thumbs/images/g/Ji8AAOSw19JeTbgl/s-l225.jpg,Java Programming:Python Programming:Master Programming Guide:Learn in Day P.D.F,$4.39
https://www.ebay.com/itm/Python-Crash-Course-2nd-Edition-P-D-F-book-by-No-Starch-Press/362968137823?hash=item548296405f:g:JM8AAOSwU8RekgkN,https://i.ebayimg.com/thumbs/images/g/JM8AAOSwU8RekgkN/s-l225.jpg,"Python Crash Course, 2nd Edition [P.D.F] book by No Starch Press",$2.59
